Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
1698,1502,St1 Ørsta 9163,0.0,18.5,1,0.5,Mandag,18:05,20:05
7494,1751,Subsea 7 Vigra Spoolbase,0.52,1786.3,1,2.52,Mandag,08:05,10:05
9094,1041,Sunde Barnehage,0.5,181.9,1,1.0,Mandag,07:00,16:00
7808,1151,Tennfjord Barnehage,0.5,134.9,1,1.0,Mandag,08:40,10:40
8436,1052,Tingstad As Kantine,0.5,577.4,1,1.0,Mandag,11:35,13:35
13332,1501,"Toma Kant.torvmyrane,1188201",0.0,300.0,1,0.5,Mandag,08:05,10:05
12203,1201,"Trsp.o. Berdal, Valldal",0.0,0.0,1,0.0,Mandag,10:40,12:40
12213,1602,Trsp.o. Stabburet Svemorka,0.0,0.0,1,0.0,Mandag,19:00,21:00
12217,1201,Trsp.o. Valldal Grønt,0.0,0.0,1,0.0,Mandag,10:55,12:55
9099,1041,Ungdom I Oppdrag Ålesund,0.5,576.1,1,1.0,Mandag,08:00,16:00
7272,1701,Ungdomsklubben Bell Uk 250200,0.5,578.7,1,1.5,Mandag,09:45,11:45
7384,1251,Valaker Avd. Fosnavåg,0.5,220.9,1,1.0,Mandag,09:55,11:55
8285,1052,Ålesund Fengsel 3390karsandn,0.5,224.4,1,1.5,Mandag,12:30,14:30
