Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
8929,2053,Racoon Coffee,0.5,883.8,1,1.5,Tirsdag,16:50,18:50
8890,2401,Ragnhild's Catering,0.5,1004.12,1,2.0,Tirsdag,08:30,10:30
9312,2052,Rasoi Ålesund,0.5,748.45,1,1.5,Tirsdag,13:10,15:10
2221,2352,Renex Avd Myklebust,0.52,1296.8,1,1.52,Tirsdag,07:25,09:25
5841,2352,Sandetun - Kantine,0.0,35.9,1,0.5,Tirsdag,07:45,09:45
5851,2352,Sandetun - Kjøkken,0.5,848.8,1,1.5,Tirsdag,07:45,09:45
7936,2151,Sandøytunet Hovudkjøkken 2024,0.5,454.3,1,1.0,Tirsdag,11:05,13:05
8834,2401,Sansesenteret Sulatunet,0.0,410.7,1,0.5,Tirsdag,08:40,10:40
8443,2401,Selecta Norway Avd Ålesund,0.0,347.6,1,0.5,Tirsdag,07:15,09:15
9079,2101,Sit Kafe/kantine Ålesund,0.5,1875.34,1,2.5,Tirsdag,06:15,08:15
7926,2041,Skarbøvik Barnehage,0.5,99.6,1,1.0,Tirsdag,08:55,10:55
7906,2103,Skarbøvik Sykehjem 2024,0.5,801.2,1,1.0,Tirsdag,11:25,13:25
7571,2651,Skrøppatausene,0.5,2070.7,2,2.0,Tirsdag,07:10,09:10
3289,2403,Soi One,0.5,828.6,1,1.0,Tirsdag,15:40,17:40
6717,2503,Soi One Volda,0.0,337.2,1,1.0,Tirsdag,19:05,21:05
9294,2052,Soi One Ålesund,0.5,2158.9,1,3.04,Tirsdag,11:40,13:40
6084,2601,Sol Cafè,0.5,374.26,1,1.0,Tirsdag,10:30,12:30
9055,2057,Spar Eidsnes,2.0,6914.55,2,7.166,Tirsdag,20:05,22:05
4220,2751,Spar Ellingsøy,0.0,1725.1,1,2.0,Tirsdag,15:50,17:50
880,2352,Spar Fiskåbygd,1.0,8735.27,1,7.85,Tirsdag,09:20,11:20
1090,2403,Spar Langevåg,0.0,3309.8,1,4.0,Tirsdag,15:45,17:45
4235,2451,Spar Raudeberg,1.0,3993.6,1,3.5,Tirsdag,11:15,13:15
8697,2105,Spar Spjelkavik,0.0,5759.03,2,6.5,Tirsdag,18:20,20:20
6600,2702,Spar Straumane,1.0,5295.73,1,5.85,Tirsdag,17:40,19:40
6780,2602,Spar Svingen,0.5,11558.88,1,11.85,Tirsdag,17:10,19:10
7010,2151,Spar Søvik,1.0,3789.66,1,4.5,Tirsdag,09:15,11:15
7765,2702,Spar Ulsteinvik,1.0,5571.75,1,5.333,Tirsdag,16:10,18:10
5540,2503,Spar Volda,0.5,2333.48,1,2.5,Tirsdag,18:55,20:55
4225,2053,Spar Åse,0.0,6386.86,1,5.333,Tirsdag,15:35,17:35
8479,2107,Spisestua Kafe Og Restaurant,0.5,779.59,1,1.5,Tirsdag,09:05,11:05
9159,2104,Sportsparken Vegsund,1.0,1070.43,1,1.5,Tirsdag,11:20,13:20
7937,2041,Storhaugen Barnehage,0.5,116.3,1,1.0,Tirsdag,08:35,10:35
8825,2401,Sulatunet,0.52,2323.4,1,2.52,Tirsdag,08:20,10:20
8848,2401,Sulatunet Avd.sloghaugveien,0.0,362.7,1,0.5,Tirsdag,08:50,10:50
6853,2601,Sykkylven Bu Og Aktivitetss.,1.0,2740.6,1,2.5,Tirsdag,08:05,10:05
7809,2151,Søvik Barnehage 2024,0.5,228.2,1,1.0,Tirsdag,09:30,11:30
7048,2501,Tandoori Mix,0.5,789.51,1,2.0,Tirsdag,08:50,10:50
1824,2501,Tik Cafe & Restaurant,0.0,46.85,1,1.0,Tirsdag,08:10,10:10
13330,2104,Toma Kant.1184701 Postvegen 2,0.0,300.0,1,0.5,Tirsdag,11:50,13:50
13333,2501,"Toma Kant.nørestranda,1188202",0.0,300.0,1,0.5,Tirsdag,12:15,14:15
12007,2602,Transport Hig,0.0,0.0,2,0.0,Tirsdag,20:45,22:45
12233,2401,Trsp.o Br. Remø,0.0,0.0,1,0.0,Tirsdag,09:25,11:25
12202,2701,Trsp.o. Brudevoll Kjøtt,0.0,0.0,1,0.0,Tirsdag,11:35,13:35
12206,2401,Trsp.o. Jakob & Johan Dybvik,0.0,0.0,1,0.0,Tirsdag,09:16,11:16
12212,2451,Trsp.o. Snorre Seafood,0.0,0.0,1,0.0,Tirsdag,11:40,13:40
12217,2302,Trsp.o. Valldal Grønt,0.0,0.0,1,0.0,Tirsdag,12:00,14:00
9279,2101,Tyrholm Og Farstad,0.5,562.76,1,1.0,Tirsdag,08:25,10:25
13283,2701,Ulshav Avd. Mjøl Og Meir,0.0,0.0,1,0.5,Tirsdag,11:15,13:15
7312,2701,Ulstein Arena 252201,0.5,568.2,1,1.5,Tirsdag,10:25,12:25
7313,2701,Ulstein Kommune Omsorgstenesta,0.5,383.7,1,1.0,Tirsdag,08:45,10:45
7311,2701,Ulstein Sjukeheim 304101,0.0,300.0,1,0.5,Tirsdag,08:30,10:30
7276,2701,Ulstein Vidaregåande Skule,0.0,300.0,1,0.5,Tirsdag,09:20,11:20
7381,2107,Valaker Avd. Moa Syd,0.5,828.2,1,2.0,Tirsdag,10:15,12:15
13220,2101,Valaker Avd. Ålesund Storsente,0.0,30.0,1,0.0,Tirsdag,07:05,09:05
7383,2701,Valaker Blåhuset Ulsteinvik,0.5,621.7,1,1.0,Tirsdag,10:10,12:10
8478,2051,Vard Group Skansekaia 422571,0.5,493.41,1,1.0,Tirsdag,09:05,11:05
7417,2701,Verona Pizza,0.52,2067.4,1,2.02,Tirsdag,10:35,12:35
9245,2107,Vest Restaurant,0.5,1032.18,1,2.5,Tirsdag,11:50,13:50
6859,2601,Vikedalen Barnehage,0.5,529.1,1,1.0,Tirsdag,10:45,12:45
8005,2051,Vinni Bar Og Restaurant,0.5,475.54,1,1.0,Tirsdag,07:20,09:20
8517,2107,Vinterhagen,0.5,1164.65,1,2.0,Tirsdag,10:45,12:45
1640,2501,Volda Omsorgssenter 410401,0.5,1200.0,1,2.0,Tirsdag,10:10,12:10
1838,2501,Volda Sjukehus Hf Avd 9033,0.0,145.4,1,0.5,Tirsdag,10:15,12:15
8026,2501,Westres Kond. Avd Volda,0.0,461.3,1,0.5,Tirsdag,10:40,12:40
8028,2501,Westres Kond. Avd Ørsta Amfi,0.0,300.0,1,0.5,Tirsdag,08:55,10:55
8633,2053,Wok & Grill,0.0,111.0,1,0.5,Tirsdag,17:10,19:10
8343,2052,Xl Diner,0.5,453.5,1,1.5,Tirsdag,12:35,14:35
7909,2651,Ørskog Sjukeheim 2024,0.5,1173.4,1,1.5,Tirsdag,08:10,10:10
8054,2501,Ørsta Camping As,2.0,3865.35,1,4.5,Tirsdag,09:15,11:15
8130,2501,Ørstaheimen Felleskj 31266,0.5,2844.5,1,3.5,Tirsdag,08:20,10:20
8963,2101,Ålesund Sjukehus Hf Avd 9034,0.5,343.8,1,1.5,Tirsdag,06:00,08:00
7928,2651,Årøyhaugen Barnehage 2024,0.5,135.1,1,1.0,Tirsdag,08:05,10:05
