Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
13246,3042,Ebbegarden Barnehage Emblem,0.0,300.0,1,0.5,Onsdag,11:15,13:15
7806,3151,Eidet Omsorgs. Kjøkken 2024,0.5,982.91,1,1.5,Onsdag,08:25,10:25
8562,3102,"Elektroimportøren Norge As,åle",0.0,259.1,1,0.5,Onsdag,13:00,15:00
7931,3041,Ellingsøy Barnehage 2024,0.5,457.6,1,1.5,Onsdag,08:40,10:40
9018,3106,Eurospar Blindheim,0.0,6661.05,1,6.0,Onsdag,16:00,18:00
6360,3701,Eurospar Hareid,1.5,5749.3,1,6.0,Onsdag,06:40,08:40
9200,3053,Eurospar Larsgården,0.0,11458.42,1,10.833,Onsdag,06:25,08:25
8900,3057,Eurospar Moa,1.5,14215.91,1,13.203,Onsdag,10:05,12:05
7740,3601,Eurospar Sykkylven,0.0,7115.34,1,7.35,Onsdag,06:50,08:50
7390,3752,Eurospar Valderøy,3.5,16429.0,1,13.71,Onsdag,17:35,19:35
4110,3502,Eurospar Ørsta,0.0,4422.48,1,4.5,Onsdag,17:10,19:10
9037,3054,Eurospar Ålesund Storsenter,3.5,12174.26,1,10.69,Onsdag,16:30,18:30
8260,3151,Facilitec Brattvåg,0.5,802.08,1,1.0,Onsdag,09:45,11:45
1377,3452,Factory Grodås,0.5,470.3,1,1.0,Onsdag,08:35,10:35
6762,3551,Felleskjøpet Stryn 4570,0.0,7.1,1,0.5,Onsdag,09:55,11:55
9317,3101,Felleskjøpet Ålesund 6110,0.0,23.5,1,0.5,Onsdag,08:05,10:05
1615,3452,Fjordane Folkehøgskule,0.0,300.0,1,0.5,Onsdag,11:50,13:50
1631,3451,Fjordly Ungdomssenter,0.5,380.0,1,1.0,Onsdag,12:05,14:05
1041,3452,Flammen 6770,0.5,462.2,1,1.0,Onsdag,11:40,13:40
4044,3102,Fole Festlig,0.5,635.92,1,1.5,Onsdag,11:00,13:00
7585,3751,Giske Omsorgssenter,0.5,293.2,1,1.0,Onsdag,06:45,08:45
8437,3051,Grimmergata 5 As Kantine,0.5,484.4,1,1.0,Onsdag,07:40,09:40
7934,3042,Hatlahaugen Dagsenter 2024,0.5,214.0,1,1.0,Onsdag,11:50,13:50
1159,3451,Havfruen Måløy,0.5,1221.59,1,1.5,Onsdag,11:25,13:25
2617,3601,Hellesylt Boutique Og Bar,0.0,71.1,1,0.5,Onsdag,10:30,12:30
3339,3651,Helsehuset Stella Maris,0.5,547.3,1,1.5,Onsdag,09:05,11:05
1835,3452,Hf Nordfjord Sjukehus,0.5,170.1,1,1.0,Onsdag,11:45,13:45
2819,3551,Isehaug Kafeteria,1.0,1666.57,1,2.5,Onsdag,09:10,11:10
13181,3151,Iss 422565 Haramsenteret,0.5,2455.81,1,3.0,Onsdag,10:00,12:00
7646,3101,Iss 460080 Statens Vegvesen,0.5,529.95,1,1.0,Onsdag,08:10,10:10
3615,3751,Joker Godøy,0.5,2318.58,1,3.0,Onsdag,10:05,12:05
5280,3601,Joker Hellesylt 708000993239,0.5,2510.68,1,3.5,Onsdag,10:00,12:00
643,3551,Joker Hjelledalen,0.5,2335.03,1,3.0,Onsdag,11:00,13:00
7755,3201,Joker Stordal,0.5,4960.63,1,5.0,Onsdag,07:30,09:30
1890,3651,Joker Tomrefjord,0.5,2359.82,1,2.0,Onsdag,11:30,13:30
7018,3151,Joker Vatne,0.5,2782.12,1,3.0,Onsdag,08:15,10:15
1715,3751,Joker Vikane,0.5,2976.63,1,3.5,Onsdag,07:25,09:25
3328,3701,Jr Ulsteinvik As,0.0,760.5,1,1.5,Onsdag,08:00,10:00
7943,3042,Kaos Kollektivet Ungdomshus,0.5,306.4,1,1.0,Onsdag,11:35,13:35
9176,3102,Keiseren Frukt Og Grønt,0.5,448.4,1,1.0,Onsdag,12:30,14:30
355,3501,Kiwi 827 Ørsta,0.0,10191.01,1,9.183,Onsdag,08:05,10:05
7642,3502,Kiwi 830 Skjellebreida Volda,0.5,5923.98,1,6.35,Onsdag,18:10,20:10
9045,3056,Kiwi 832 Sundgata,1.0,8937.6,1,9.53,Onsdag,19:50,21:50
2958,3057,Kiwi 841 Skodje,0.5,6937.77,1,7.35,Onsdag,10:40,12:40
2936,3502,Kiwi 843 Volda,0.0,16855.51,1,14.8,Onsdag,18:25,20:25
2935,3601,Kiwi 844 Sykkylven,2.0,8565.0,1,7.333,Onsdag,07:20,09:20
9093,3056,Kiwi 849 Skarbøvik,3.0,11204.13,1,10.85,Onsdag,20:35,22:35
2931,3056,Kiwi 901 Nørve,0.0,13786.19,1,11.713,Onsdag,19:15,21:15
2932,3105,Kiwi 902 Spjelkavik,2.0,8740.13,1,9.7,Onsdag,19:20,21:20
2920,3251,Kiwi 905 Eggesbønes,1.0,10851.22,1,10.2,Onsdag,18:10,20:10
2927,3451,Kiwi 906 Deknepollen,0.0,1323.44,1,1.7,Onsdag,09:10,11:10
2908,3103,Kiwi 908 Klokkersund,0.0,10980.74,1,10.406,Onsdag,20:20,22:20
2939,3103,Kiwi 909 Flisnes,0.0,9742.96,1,8.549,Onsdag,19:30,21:30
2942,3057,Kiwi 910 Kverve,1.0,11055.08,1,10.0,Onsdag,13:10,15:10
2946,3401,Kiwi 911 Fiskarstrand,0.0,6945.39,1,6.516,Onsdag,15:25,17:25
2948,3601,Kiwi 912 Stranda,0.0,4617.15,1,4.5,Onsdag,08:30,10:30
2950,3551,Kiwi 913 Stryn,0.0,8992.55,1,8.839,Onsdag,07:45,09:15
2928,3702,Kiwi 914 Ulsteinvik,0.0,15486.09,1,12.38,Onsdag,18:00,20:00
2953,3752,Kiwi 915 Valderøy,0.0,7891.46,1,7.85,Onsdag,16:40,18:40
2955,3055,Kiwi 916 Kremmergaarden,2.0,8580.35,1,9.35,Onsdag,17:05,19:05
2957,3701,Kiwi 917 Myrvåg,0.0,14123.73,1,10.35,Onsdag,08:50,10:50
2959,3401,Kiwi 918 Langevåg,0.0,16020.51,1,12.5,Onsdag,16:25,18:25
2956,3055,Kiwi 919 Nedre Strandgate,1.0,4175.65,1,4.833,Onsdag,16:35,18:35
2947,3104,Kiwi 920 Breivika,0.0,9200.07,1,8.033,Onsdag,15:15,17:15
2930,3651,Kiwi 921 Vestnes,2.0,8853.41,1,7.08,Onsdag,07:50,09:50
2963,3452,Kiwi 922 Nordfjordeid,0.0,4341.13,1,5.0,Onsdag,09:20,11:20
2940,3108,Kiwi 923 Hatlane,1.0,7333.3,1,6.533,Onsdag,19:05,21:05
2961,3151,Kiwi 924 Vallekrysset,0.0,4618.49,1,4.35,Onsdag,06:35,08:35
2937,3501,Kiwi 925 Meieribygget Ørsta,0.0,6632.72,1,6.85,Onsdag,07:45,09:45
7927,3041,Klipra Kafe,0.5,174.61,1,1.0,Onsdag,07:40,09:40
6544,3601,Lille Siena,0.5,840.84,1,1.5,Onsdag,09:00,11:00
