Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
2393,5151,Nor F. Vard Brattvåg,0.5,874.62,1,1.0,Fredag,11:30,13:30
7489,5151,Norbruk Vard Søvika,0.5,2007.65,1,2.0,Fredag,10:00,12:00
4002,5452,Nordfjord Hotell,0.5,382.16,1,1.0,Fredag,09:25,11:25
13046,5101,Peppes Pizza Amfi Moa Avd.319,1.0,828.93,1,1.5,Fredag,09:20,11:20
13124,5701,Quality Hotel Ulstein,0.5,999.4,1,2.0,Fredag,08:25,10:25
8882,5051,Quality Hotel Waterfront,0.0,180.8,1,0.5,Fredag,08:30,10:30
8929,5054,Racoon Coffee,1.0,1161.7,1,2.5,Fredag,16:25,18:25
8890,5401,Ragnhild's Catering,0.5,958.9,1,1.5,Fredag,12:30,14:30
3338,5651,Remmemsvik Kiosk & Gatekjøkken,0.0,129.0,1,0.5,Fredag,08:55,10:55
13067,5101,Sabrura Moa,0.0,300.0,1,0.5,Fredag,07:50,09:50
8850,5052,Scandic Parken Hotell Mat,0.0,1302.0,1,1.5,Fredag,12:10,14:10
6788,5551,Slice & Bite,0.5,669.3,1,1.5,Fredag,10:32,12:32
6769,5551,Smak Kafe & Catering,0.5,655.3,1,1.0,Fredag,08:20,10:20
9055,5402,Spar Eidsnes,0.0,11119.04,1,10.7,Fredag,16:20,18:20
4220,5151,Spar Ellingsøy,1.0,8630.66,1,8.85,Fredag,07:50,09:50
880,5351,Spar Fiskåbygd,1.0,6969.4,1,6.249,Fredag,07:45,09:45
1845,5702,Spar Fosnavåg,0.0,1118.07,1,1.5,Fredag,17:00,19:00
2170,5452,Spar Hornindal,0.0,8827.42,1,8.1,Fredag,06:50,08:50
5550,5502,Spar Hovdebygda,0.5,2967.73,1,3.0,Fredag,16:15,18:15
1090,5401,Spar Langevåg,0.0,1336.61,1,1.0,Fredag,12:10,14:10
4235,5451,Spar Raudeberg,1.0,6992.58,1,7.1,Fredag,11:00,13:00
8697,5402,Spar Spjelkavik,1.0,14269.03,1,13.116,Fredag,17:25,19:25
6600,5702,Spar Straumane,1.0,5721.95,1,5.5,Fredag,15:45,17:45
6780,5601,Spar Svingen,0.0,1553.82,1,1.5,Fredag,09:10,11:10
7010,5151,Spar Søvik,1.0,9741.25,1,9.5,Fredag,09:45,11:45
6320,5651,Spar Tresfjord,1.0,5436.43,1,5.0,Fredag,08:35,10:35
7765,5702,Spar Ulsteinvik,0.0,1921.93,1,2.0,Fredag,15:05,17:05
4245,5201,Spar Valldal,1.0,10599.24,1,8.58,Fredag,09:00,11:00
7450,5502,Spar Vartdal,0.0,929.08,1,1.0,Fredag,15:15,17:15
5540,5501,Spar Volda,1.0,5221.63,1,5.0,Fredag,09:35,11:35
4225,5054,Spar Åse,2.0,9925.0,2,8.2,Fredag,15:10,17:10
