customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
9299,Egon Moa Moanor,Langelandsvegen 47,6010.0,62.465082,6.35152,07:40,09:40,4.06,1.5,3108.79,0.0,1,5101,13.2
13169,Egon Ålesund,Egon Ålesund,,62.4728188,6.1583341,08:00,10:00,2.8,0.5,2131.91,0.0,1,5051,12.0
13331,Eid Vg Skule,Skulevegen 1,6770.0,61.9025,5.9883,10:05,12:05,0.5,0.0,500.0,0.0,1,5452,15.3
9018,Eurospar Blindheim,Gamle Blindheimsveg 25,6012.0,62.442025,6.371977,16:40,18:40,7.7,0.0,7776.89,0.0,1,5402,24.1
6360,Eurospar Hareid,Eurospar Hareid,,62.3718107,6.0279234,06:40,08:40,4.85,0.5,3666.05,0.0,1,5701,19.2
9200,Eurospar Larsgården,LARSGÅRDSVEGEN 19,6009.0,62.472382,6.240615,15:40,17:40,4.5,0.0,5355.03,0.0,1,5104,21.0
8900,Eurospar Moa,Eurospar Moa,,62.464817,6.3515225,07:00,09:00,17.442999999999998,2.0,20520.1,0.0,1,5101,17.9
7740,Eurospar Sykkylven,Eurospar Sykkylven,,62.39147562464948,6.57703545553984,06:50,08:50,1.87,0.5,1249.96,0.0,1,5601,12.9
7390,Eurospar Valderøy,Eurospar Valderøy,,62.50873478054889,6.128535867185325,06:45,08:45,15.416,0.0,18298.63,0.0,1,5751,22.6
4110,Eurospar Ørsta,Eurospar Ørsta,,62.196948,6.128328,15:55,17:55,4.85,0.0,6105.63,0.0,1,5502,24.1
9037,Eurospar Ålesund Storsenter,Rasmus Rønnebergs gate 21,6002.0,62.4723101,6.1583677,16:05,18:05,5.85,1.0,6509.08,0.0,1,5054,24.8
8473,Evergreens,Ålesund,6002.0,62.4712466,6.1538577,07:30,09:30,0.5,0.0,138.4,0.0,1,5051,4.6
6782,Felleskjøpet Volda 7110,Felleskjøpet Volda,,62.170339,6.0358847,10:25,12:25,0.5,0.0,0.0,0.0,1,5501,8.6
1069,Fergekaia Langevåg,Langevåg,6030.0,62.4406249,6.1932365,13:10,15:10,2.0,1.0,1184.8,0.0,1,5401,20.0
9293,Fergekaia Skarbøvik,SKARBØVIKGATA 26,6006.0,62.466733,6.113678,16:25,18:25,0.5,0.0,66.63,0.0,1,5104,11.7
1574,Fjellstova Ørskog Kh As,Ørskog,6240.0,62.520486,6.915697,08:15,10:15,1.5,0.5,635.02,0.0,1,5651,7.7
4044,Fole Festlig,Ålesund,6002.0,62.43156,6.35635,11:05,13:05,1.5,0.0,532.91,0.0,1,5401,5.2
1070,Fole Festlig Drift,Ålesund,6002.0,62.4390436,6.1854688,12:50,14:50,2.0,1.0,1228.1,0.0,1,5401,20.0
8045,Gyroshouse Ålesund,Løvenvoldgata 6,6002.0,62.47135484052696,6.159550897872461,17:25,19:25,1.5,1.0,361.3,0.0,1,5054,8.4
8350,Happy Elefant,APOTEKERGATA 5,6004.0,62.4744125,6.1566436,11:35,13:35,0.5,0.0,383.7,0.0,1,5052,8.6
7615,Havila Hotell Ivar Aasen,Kyaborga 4,6150.0,62.19848223273154,6.128937797855266,08:20,10:20,2.0,1.0,1245.2,0.0,1,5501,8.3
9302,Hole Kjøtt As,Ålesund,6002.0,62.4713742,6.159168,13:15,15:15,0.5,0.0,300.0,0.0,1,5052,8.6
2618,Hornindal Skisenter,Hornindal skisenter,,62.007827,6.561826,06:51,08:51,1.0,0.5,415.2,0.0,1,5452,6.8
8570,Hotel 1904 As,Apotekergata 5,6004.0,62.4729228,6.1581093,07:50,09:50,1.5,0.5,850.33,0.0,1,5051,13.5
8408,Hotel Brosundet Bryggen,APOTEKERGATA 1-3,6004.0,62.4722192,6.1522983,11:45,13:45,1.0,0.0,502.0,0.0,1,5052,12.9
9319,Indian Masala House,KONGENS GATE 28A,6002.0,62.4750822,6.1566431,16:10,18:10,0.5,0.0,151.8,0.0,1,5054,7.1
2819,Isehaug Kafeteria,Isehaug kafeteria,,61.9041735,6.72275,10:10,12:10,0.5,0.0,421.68,0.0,1,5551,10.7
9332,Iss 460367 Ncc Moavegen Kant.,Moavegen,6010.0,62.46863,6.347776,07:30,09:30,2.0,1.0,1170.55,0.0,1,5101,7.6
3615,Joker Godøy,Godøya post i butikk,,62.4756673,6.0383892,09:40,11:40,3.5,1.0,3262.8,0.0,1,5751,18.6
2218,Joker Gursken,Joker Gursken,,62.216106,5.649571,09:35,11:35,1.0,0.0,890.6,0.0,1,5701,9.8
5280,Joker Hellesylt 708000993239,Hellesylt,6218.0,62.08441,6.86958,11:25,13:25,3.0,0.5,1807.9,0.0,1,5601,19.0
4070,Joker Larsnes,Joker Larsnes,,62.20638,5.5715076,10:00,12:00,1.0,0.0,1227.37,0.0,1,5701,16.9
1126,Joker Loen,Joker Loen,,61.8718144,6.8480974,09:00,11:00,3.0,1.0,2199.93,0.0,1,5551,14.3
7755,Joker Stordal,Joker Stordal,,62.38233549471638,6.993128782522092,07:35,09:35,4.5,1.0,4562.96,0.0,1,5201,19.9
7018,Joker Vatne,Joker Vatne,,62.56022221657683,6.617389699731481,09:00,11:00,2.0,0.5,1386.02,0.0,1,5151,13.6
1715,Joker Vikane,Vigra post i butikk,,62.558128,6.0969425,08:00,10:00,3.5,0.5,2853.59,0.0,1,5751,14.6
8579,Jordbærpikene Moa,Langelandsvegen 47,6010.0,62.465082,6.35152,08:10,10:10,0.5,0.0,300.0,0.0,1,5101,4.9
1064,Kauto Bar Og Restaurant,KONGENS GATE 11,6002.0,62.4735516,6.1564804,11:10,13:10,0.5,0.0,38.2,0.0,1,5052,5.2
355,Kiwi 827 Ørsta,Kiwi Meieribygget Ørsta,,62.2030441,6.1456416,07:30,09:30,6.006,0.5,6977.29,0.0,1,5501,26.6
7642,Kiwi 830 Skjellebreida Volda,Volda,6100.0,62.14566073195188,6.074217711343333,16:35,18:35,4.35,0.5,3919.14,0.0,1,5502,22.9
9045,Kiwi 832 Sundgata,SUNDGATA 8,6003.0,62.471056,6.166693,16:00,18:00,5.683,0.0,5563.23,0.0,1,5104,22.9
2958,Kiwi 841 Skodje,Kiwi Skodje,,62.5033919,6.6966718,06:40,08:40,8.083,0.0,6913.88,0.0,1,5151,19.6
2936,Kiwi 843 Volda,Kiwi Volda,,62.1467135,6.0889177,16:50,18:50,7.383,0.0,8598.5,0.0,1,5502,26.0
2935,Kiwi 844 Sykkylven,Kiwi Sykkylven,,62.3913141,6.5816796,07:10,09:10,9.393,0.0,10510.62,0.0,1,5601,26.5
9093,Kiwi 849 Skarbøvik,SKARBØVIKGATA 25,6006.0,62.4666932,6.114175,16:35,18:35,7.033,0.0,7165.27,0.0,1,5104,26.9
2931,Kiwi 901 Nørve,NØRVEGATA 23,6008.0,62.4715115,6.2065205,16:45,18:45,11.58,0.0,12180.09,0.0,1,5752,25.4
2932,Kiwi 902 Spjelkavik,SPJELKAVIKVEGEN 42,6010.0,62.463529,6.364485,17:40,19:40,5.886,0.0,7956.22,0.0,1,5402,32.2
2920,Kiwi 905 Eggesbønes,Eggesbønes,6008.0,62.32582,5.63805,16:45,18:45,5.7,0.0,5214.79,0.0,1,5702,25.3
