algorithm,instance,run,best_cost,iteration_found_best
DRLH,C2_6_5.TXT,8,9363.99,970
DRLH,C2_6_5.TXT,9,9376.73,928
DRLH,C2_6_5.TXT,10,9473.79,990
DRLH,C2_6_6.TXT,1,10200.93,985
DRLH,C2_6_6.TXT,2,10909.35,1000
DRLH,C2_6_6.TXT,3,10279.60,980
DRLH,C2_6_6.TXT,4,10589.59,988
DRLH,C2_6_6.TXT,5,10846.34,998
DRLH,C2_6_6.TXT,6,10671.41,975
DRLH,C2_6_6.TXT,7,10675.87,997
DRLH,C2_6_6.TXT,8,10681.39,999
DRLH,C2_6_6.TXT,9,11023.29,1000
DRLH,C2_6_6.TXT,10,9845.68,1000
DRLH,C2_6_7.TXT,1,10524.25,998
DRLH,C2_6_7.TXT,2,9870.07,999
DRLH,C2_6_7.TXT,3,10303.03,999
DRLH,C2_6_7.TXT,4,10743.89,997
DRLH,C2_6_7.TXT,5,10980.01,1000
DRLH,C2_6_7.TXT,6,10495.96,1000
DRLH,C2_6_7.TXT,7,10778.74,1000
DRLH,C2_6_7.TXT,8,11606.07,1000
DRLH,C2_6_7.TXT,9,11575.73,996
DRLH,C2_6_7.TXT,10,10403.37,994
DRLH,C2_6_8.TXT,1,9793.51,999
DRLH,C2_6_8.TXT,2,9837.19,994
DRLH,C2_6_8.TXT,3,9907.50,996
DRLH,C2_6_8.TXT,4,10147.82,999
DRLH,C2_6_8.TXT,5,10469.36,1000
DRLH,C2_6_8.TXT,6,10024.29,997
DRLH,C2_6_8.TXT,7,9737.90,998
DRLH,C2_6_8.TXT,8,9876.10,839
DRLH,C2_6_8.TXT,9,10103.87,995
DRLH,C2_6_8.TXT,10,9914.23,1000
DRLH,C2_6_9.TXT,1,10364.56,993
DRLH,C2_6_9.TXT,2,10506.59,998
DRLH,C2_6_9.TXT,3,10875.74,999
DRLH,C2_6_9.TXT,4,10568.13,998
DRLH,C2_6_9.TXT,5,10162.29,867
DRLH,C2_6_9.TXT,6,10678.80,968
DRLH,C2_6_9.TXT,7,10663.82,998
DRLH,C2_6_9.TXT,8,10488.81,989
DRLH,C2_6_9.TXT,9,10658.29,996
DRLH,C2_6_9.TXT,10,9911.66,1000
DRLH,R1_6_1.TXT,1,23864.85,989
DRLH,R1_6_1.TXT,2,24552.61,997
DRLH,R1_6_1.TXT,3,24396.08,999
DRLH,R1_6_1.TXT,4,24020.16,998
DRLH,R1_6_1.TXT,5,24228.80,982
DRLH,R1_6_1.TXT,6,24298.29,975
DRLH,R1_6_1.TXT,7,24554.06,994
DRLH,R1_6_1.TXT,8,24652.84,998
DRLH,R1_6_1.TXT,9,24332.67,998
DRLH,R1_6_1.TXT,10,24314.75,984
DRLH,R1_6_10.TXT,1,20384.05,1000
DRLH,R1_6_10.TXT,2,20441.64,999
DRLH,R1_6_10.TXT,3,20598.07,975
DRLH,R1_6_10.TXT,4,20709.73,955
DRLH,R1_6_10.TXT,5,20556.98,999
DRLH,R1_6_10.TXT,6,20231.38,990
DRLH,R1_6_10.TXT,7,20207.65,987
DRLH,R1_6_10.TXT,8,20688.82,963
DRLH,R1_6_10.TXT,9,20360.28,999
DRLH,R1_6_10.TXT,10,20514.64,989
DRLH,R1_6_2.TXT,1,22151.99,995
DRLH,R1_6_2.TXT,2,22003.82,996
DRLH,R1_6_2.TXT,3,21806.52,990
DRLH,R1_6_2.TXT,4,21733.90,996
DRLH,R1_6_2.TXT,5,22354.18,999
DRLH,R1_6_2.TXT,6,21973.80,995
DRLH,R1_6_2.TXT,7,21988.43,998
DRLH,R1_6_2.TXT,8,21861.38,999
