algorithm,instance,run,best_cost,iteration_found_best
URS,R2_6_7.TXT,7,10998.05,4997
URS,R2_6_7.TXT,8,10710.36,4993
URS,R2_6_7.TXT,9,10672.37,4998
URS,R2_6_7.TXT,10,11074.08,4992
URS,R2_6_8.TXT,1,8561.93,4997
URS,R2_6_8.TXT,2,8297.25,4998
URS,R2_6_8.TXT,3,8254.40,4999
URS,R2_6_8.TXT,4,8322.39,4983
URS,R2_6_8.TXT,5,8376.54,4996
URS,R2_6_8.TXT,6,8321.04,4973
URS,R2_6_8.TXT,7,8587.66,4996
URS,R2_6_8.TXT,8,8211.66,4984
URS,R2_6_8.TXT,9,8358.68,4943
URS,R2_6_8.TXT,10,8559.91,4996
URS,R2_6_9.TXT,1,13891.97,4948
URS,R2_6_9.TXT,2,14102.46,4988
URS,R2_6_9.TXT,3,13944.27,4995
URS,R2_6_9.TXT,4,13805.26,4993
URS,R2_6_9.TXT,5,14101.27,4938
URS,R2_6_9.TXT,6,13928.16,4948
URS,R2_6_9.TXT,7,13887.27,4978
URS,R2_6_9.TXT,8,14308.88,4849
URS,R2_6_9.TXT,9,13766.59,4996
URS,R2_6_9.TXT,10,14040.73,4991
URS,RC1_6_1.TXT,1,19012.78,4993
URS,RC1_6_1.TXT,2,19063.45,4998
URS,RC1_6_1.TXT,3,18933.33,4995
URS,RC1_6_1.TXT,4,19356.75,4994
URS,RC1_6_1.TXT,5,19076.48,4994
URS,RC1_6_1.TXT,6,19364.42,4997
URS,RC1_6_1.TXT,7,19319.44,4986
URS,RC1_6_1.TXT,8,19101.21,4997
URS,RC1_6_1.TXT,9,19159.17,4983
URS,RC1_6_1.TXT,10,19179.19,4982
URS,RC1_6_10.TXT,1,18924.47,4992
URS,RC1_6_10.TXT,2,18458.00,4991
URS,RC1_6_10.TXT,3,18451.94,4999
URS,RC1_6_10.TXT,4,18274.17,4997
URS,RC1_6_10.TXT,5,18536.81,4998
URS,RC1_6_10.TXT,6,18193.86,4997
URS,RC1_6_10.TXT,7,18467.78,4998
URS,RC1_6_10.TXT,8,18723.19,4971
URS,RC1_6_10.TXT,9,18589.86,4998
URS,RC1_6_10.TXT,10,18122.50,4946
URS,RC1_6_2.TXT,1,18117.41,4988
URS,RC1_6_2.TXT,2,18104.47,4999
URS,RC1_6_2.TXT,3,18057.80,4997
URS,RC1_6_2.TXT,4,18129.68,4987
URS,RC1_6_2.TXT,5,18146.18,4998
URS,RC1_6_2.TXT,6,18276.76,4995
URS,RC1_6_2.TXT,7,18500.09,4988
URS,RC1_6_2.TXT,8,18007.61,4993
URS,RC1_6_2.TXT,9,18336.78,4998
URS,RC1_6_2.TXT,10,18093.70,4995
URS,RC1_6_3.TXT,1,18186.32,4998
URS,RC1_6_3.TXT,2,17922.03,4995
URS,RC1_6_3.TXT,3,18229.26,4999
URS,RC1_6_3.TXT,4,18062.78,4988
URS,RC1_6_3.TXT,5,18312.85,4996
URS,RC1_6_3.TXT,6,17745.69,4973
URS,RC1_6_3.TXT,7,17742.14,4996
URS,RC1_6_3.TXT,8,17760.29,4998
URS,RC1_6_3.TXT,9,18171.72,4992
URS,RC1_6_3.TXT,10,18024.36,4995
URS,RC1_6_4.TXT,1,18343.44,4998
URS,RC1_6_4.TXT,2,17855.65,4974
URS,RC1_6_4.TXT,3,18375.94,4999
URS,RC1_6_4.TXT,4,18184.52,4996
URS,RC1_6_4.TXT,5,18069.59,4996
URS,RC1_6_4.TXT,6,18096.70,4995
URS,RC1_6_4.TXT,7,18011.76,4992
URS,RC1_6_4.TXT,8,17552.25,4991
URS,RC1_6_4.TXT,9,18197.99,4985
URS,RC1_6_4.TXT,10,18017.61,4999
URS,RC1_6_5.TXT,1,18995.36,4996
URS,RC1_6_5.TXT,2,19107.03,4998
URS,RC1_6_5.TXT,3,19012.24,4990
URS,RC1_6_5.TXT,4,18615.98,4999
URS,RC1_6_5.TXT,5,18984.20,4993
URS,RC1_6_5.TXT,6,19224.58,4997
URS,RC1_6_5.TXT,7,18870.37,4993
URS,RC1_6_5.TXT,8,18912.75,4998
URS,RC1_6_5.TXT,9,18981.12,4995
URS,RC1_6_5.TXT,10,18847.98,4977
URS,RC1_6_6.TXT,1,18738.26,4998
URS,RC1_6_6.TXT,2,18754.69,4993
URS,RC1_6_6.TXT,3,18606.47,4999
URS,RC1_6_6.TXT,4,18747.72,4996
URS,RC1_6_6.TXT,5,19100.22,4999
URS,RC1_6_6.TXT,6,19096.88,4989
URS,RC1_6_6.TXT,7,18776.62,4999
URS,RC1_6_6.TXT,8,18879.03,4996
URS,RC1_6_6.TXT,9,18811.92,4995
URS,RC1_6_6.TXT,10,18691.96,4998
URS,RC1_6_7.TXT,1,18669.15,4998
URS,RC1_6_7.TXT,2,18577.52,4998
URS,RC1_6_7.TXT,3,18504.77,4995
URS,RC1_6_7.TXT,4,18447.94,4997
URS,RC1_6_7.TXT,5,18412.50,4995
URS,RC1_6_7.TXT,6,18431.94,4983
URS,RC1_6_7.TXT,7,19037.63,4993
URS,RC1_6_7.TXT,8,18288.10,4997
URS,RC1_6_7.TXT,9,18717.48,4998
URS,RC1_6_7.TXT,10,18420.31,4998
