algorithm,instance,run,best_cost,iteration_found_best
DRLH,C2_6_7.TXT,2,9411.42,4948
DRLH,C2_6_7.TXT,3,9161.40,4999
DRLH,C2_6_7.TXT,4,9651.63,4803
DRLH,C2_6_7.TXT,5,9334.92,5000
DRLH,C2_6_7.TXT,6,9318.66,4998
DRLH,C2_6_7.TXT,7,9049.94,4998
DRLH,C2_6_7.TXT,8,9256.74,4986
DRLH,C2_6_7.TXT,9,10295.72,4998
DRLH,C2_6_7.TXT,10,9206.61,5000
DRLH,C2_6_8.TXT,1,9144.54,4971
DRLH,C2_6_8.TXT,2,8880.76,4315
DRLH,C2_6_8.TXT,3,9076.58,4995
DRLH,C2_6_8.TXT,4,9256.79,4955
DRLH,C2_6_8.TXT,5,9265.02,4989
DRLH,C2_6_8.TXT,6,9166.63,4993
DRLH,C2_6_8.TXT,7,8773.62,4995
DRLH,C2_6_8.TXT,8,8953.17,4374
DRLH,C2_6_8.TXT,9,9249.73,4957
DRLH,C2_6_8.TXT,10,9030.63,4997
DRLH,C2_6_9.TXT,1,9060.54,4989
DRLH,C2_6_9.TXT,2,9087.65,4995
DRLH,C2_6_9.TXT,3,8975.55,5000
DRLH,C2_6_9.TXT,4,8667.29,4983
DRLH,C2_6_9.TXT,5,9016.41,4977
DRLH,C2_6_9.TXT,6,9302.26,4994
DRLH,C2_6_9.TXT,7,8993.58,4998
DRLH,C2_6_9.TXT,8,9162.30,4979
DRLH,C2_6_9.TXT,9,9206.92,4994
DRLH,C2_6_9.TXT,10,9456.69,4988
DRLH,R1_6_1.TXT,1,23336.88,4662
DRLH,R1_6_1.TXT,2,23416.81,4993
DRLH,R1_6_1.TXT,3,23447.24,4973
DRLH,R1_6_1.TXT,4,23256.68,4990
DRLH,R1_6_1.TXT,5,23371.83,4982
DRLH,R1_6_1.TXT,6,23509.75,4999
DRLH,R1_6_1.TXT,7,23216.60,4975
DRLH,R1_6_1.TXT,8,23533.13,4516
DRLH,R1_6_1.TXT,9,23507.75,2643
DRLH,R1_6_1.TXT,10,23413.58,4996
DRLH,R1_6_10.TXT,1,19383.25,4924
DRLH,R1_6_10.TXT,2,19863.09,4988
DRLH,R1_6_10.TXT,3,19823.17,4938
DRLH,R1_6_10.TXT,4,19292.77,4991
DRLH,R1_6_10.TXT,5,19728.70,4998
DRLH,R1_6_10.TXT,6,19791.88,3419
DRLH,R1_6_10.TXT,7,19305.01,4914
DRLH,R1_6_10.TXT,8,19348.56,4988
DRLH,R1_6_10.TXT,9,19536.71,4992
DRLH,R1_6_10.TXT,10,19271.49,4989
DRLH,R1_6_2.TXT,1,20686.90,5000
DRLH,R1_6_2.TXT,2,20670.06,4997
DRLH,R1_6_2.TXT,3,20557.45,4973
DRLH,R1_6_2.TXT,4,20796.26,4779
DRLH,R1_6_2.TXT,5,20715.28,4873
DRLH,R1_6_2.TXT,6,20660.34,4982
DRLH,R1_6_2.TXT,7,20604.38,4948
DRLH,R1_6_2.TXT,8,20794.31,4993
DRLH,R1_6_2.TXT,9,20734.28,4998
DRLH,R1_6_2.TXT,10,20752.76,4712
DRLH,R1_6_3.TXT,1,19045.40,4998
DRLH,R1_6_3.TXT,2,19238.20,4999
DRLH,R1_6_3.TXT,3,19381.88,4999
DRLH,R1_6_3.TXT,4,19139.57,4986
DRLH,R1_6_3.TXT,5,19029.90,4999
DRLH,R1_6_3.TXT,6,19068.46,4995
DRLH,R1_6_3.TXT,7,18954.13,5000
DRLH,R1_6_3.TXT,8,18894.97,5000
DRLH,R1_6_3.TXT,9,19036.48,3956
DRLH,R1_6_3.TXT,10,18933.23,4999
DRLH,R1_6_4.TXT,1,17997.86,4987
DRLH,R1_6_4.TXT,2,17874.39,5000
DRLH,R1_6_4.TXT,3,18176.48,5000
DRLH,R1_6_4.TXT,4,17939.01,4974
DRLH,R1_6_4.TXT,5,18232.94,4992
DRLH,R1_6_4.TXT,6,17911.64,5000
DRLH,R1_6_4.TXT,7,18172.11,4998
DRLH,R1_6_4.TXT,8,18207.98,4997
DRLH,R1_6_4.TXT,9,18301.24,5000
DRLH,R1_6_4.TXT,10,18228.26,4995
DRLH,R1_6_5.TXT,1,21232.76,4958
DRLH,R1_6_5.TXT,2,21278.49,2699
DRLH,R1_6_5.TXT,3,21203.92,4952
DRLH,R1_6_5.TXT,4,20982.00,4974
DRLH,R1_6_5.TXT,5,21183.15,4996
DRLH,R1_6_5.TXT,6,21303.31,2931
DRLH,R1_6_5.TXT,7,21518.78,4559
DRLH,R1_6_5.TXT,8,21245.38,3764
DRLH,R1_6_5.TXT,9,21281.09,4993
DRLH,R1_6_5.TXT,10,21033.04,5000
DRLH,R1_6_6.TXT,1,19747.49,5000
DRLH,R1_6_6.TXT,2,19863.27,3723
DRLH,R1_6_6.TXT,3,19992.35,4928
DRLH,R1_6_6.TXT,4,19523.96,4999
DRLH,R1_6_6.TXT,5,20145.95,4993
DRLH,R1_6_6.TXT,6,19908.68,4993
DRLH,R1_6_6.TXT,7,19662.31,5000
DRLH,R1_6_6.TXT,8,19956.75,4998
