algorithm,instance,run,best_cost,iteration_found_best
RRT,R1_6_2.TXT,10,20799.19,4997
RRT,R1_6_3.TXT,1,19632.69,4981
RRT,R1_6_3.TXT,2,19348.16,4994
RRT,R1_6_3.TXT,3,19844.52,4995
RRT,R1_6_3.TXT,4,19433.82,4986
RRT,R1_6_3.TXT,5,19474.45,4999
RRT,R1_6_3.TXT,6,19361.52,4985
RRT,R1_6_3.TXT,7,19198.99,4996
RRT,R1_6_3.TXT,8,19474.51,4997
RRT,R1_6_3.TXT,9,19818.45,4998
RRT,R1_6_3.TXT,10,19837.09,4997
RRT,R1_6_4.TXT,1,18355.98,4998
RRT,R1_6_4.TXT,2,18595.26,4997
RRT,R1_6_4.TXT,3,18612.75,4997
RRT,R1_6_4.TXT,4,18438.54,4999
RRT,R1_6_4.TXT,5,18255.08,4999
RRT,R1_6_4.TXT,6,18737.30,4998
RRT,R1_6_4.TXT,7,18793.43,4997
RRT,R1_6_4.TXT,8,18790.95,4996
RRT,R1_6_4.TXT,9,19268.42,4995
RRT,R1_6_4.TXT,10,18409.76,4997
RRT,R1_6_5.TXT,1,21226.66,4992
RRT,R1_6_5.TXT,2,21295.53,4999
RRT,R1_6_5.TXT,3,20963.89,4998
RRT,R1_6_5.TXT,4,21144.81,4994
RRT,R1_6_5.TXT,5,21299.78,4997
RRT,R1_6_5.TXT,6,21191.24,4999
RRT,R1_6_5.TXT,7,21554.82,4992
RRT,R1_6_5.TXT,8,21555.52,4994
RRT,R1_6_5.TXT,9,21599.39,4874
RRT,R1_6_5.TXT,10,21402.34,4997
RRT,R1_6_6.TXT,1,20303.96,4997
RRT,R1_6_6.TXT,2,20142.43,4989
RRT,R1_6_6.TXT,3,20353.16,4985
RRT,R1_6_6.TXT,4,20290.45,4996
RRT,R1_6_6.TXT,5,20193.30,4997
RRT,R1_6_6.TXT,6,20043.33,4996
RRT,R1_6_6.TXT,7,20458.43,4993
RRT,R1_6_6.TXT,8,20096.90,4984
RRT,R1_6_6.TXT,9,20164.46,4993
RRT,R1_6_6.TXT,10,20141.61,4986
RRT,R1_6_7.TXT,1,19333.71,4968
RRT,R1_6_7.TXT,2,19522.22,4998
RRT,R1_6_7.TXT,3,19121.42,4997
RRT,R1_6_7.TXT,4,19107.58,4997
RRT,R1_6_7.TXT,5,18982.41,4999
RRT,R1_6_7.TXT,6,19027.10,4998
RRT,R1_6_7.TXT,7,18994.78,4998
RRT,R1_6_7.TXT,8,19341.26,4997
RRT,R1_6_7.TXT,9,19226.43,4997
RRT,R1_6_7.TXT,10,19575.13,4998
RRT,R1_6_8.TXT,1,18507.90,4999
RRT,R1_6_8.TXT,2,18626.13,4998
RRT,R1_6_8.TXT,3,18636.18,4999
RRT,R1_6_8.TXT,4,18325.06,4995
RRT,R1_6_8.TXT,5,18985.57,4994
RRT,R1_6_8.TXT,6,18445.50,4996
RRT,R1_6_8.TXT,7,18442.49,4999
