Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
13331,EID VG SKULE ,16,13.3125,1044.1176470588236
7806,EIDET OMSORGS. KJØKKEN 2024 ,58,5.155172413793103,4.691291080961329
8326,EKORNES AS ,4,1.25,2.740476842970677
8562,"ELEKTROIMPORTØREN NORGE AS,ÅLE ",22,1.7272727272727273,5.352414220519465
7931,ELLINGSØY BARNEHAGE 2024 ,41,9.073170731707316,19.971974809541454
333,ELMIR PIZZERIA ,20,6.35,6.361727845282779
1146,ELVEBAKKEN CAMPING ,7,14.0,17.045701613253904
1964,EMOBILITY AS ,1,52.0,86.03573792190603
7583,EPIC DIGERNES ,45,2.1777777777777776,4.037667315989493
1043,ERLING BJØRLO ,1,9.0,50.90497737556561
9018,EUROSPAR BLINDHEIM ,303,22.125412541254125,2.2621195840499273
6360,EUROSPAR HAREID ,301,17.242524916943523,2.2479535858482844
9200,EUROSPAR LARSGÅRDEN ,303,18.966996699669966,1.8445681619273686
8900,EUROSPAR MOA ,348,15.89655172413793,1.3099017111273048
7740,EUROSPAR SYKKYLVEN ,299,10.899665551839465,1.5856676507650636
7390,EUROSPAR VALDERØY ,255,20.564705882352943,1.7447359305737238
4110,EUROSPAR ØRSTA ,302,22.13907284768212,3.1182342891536052
9037,EUROSPAR ÅLESUND STORSENTER ,257,22.82490272373541,2.1115175116397493
8473,EVERGREENS ,61,2.6065573770491803,5.898759479751671
9327,EXPRESS PIZZARIA OG GRILL ,4,26.5,69.14095623247016
9310,FABRIKKEN KULTURSCENE ,35,4.885714285714286,17.899817547473766
8260,FACILITEC BRATTVÅG ,89,5.53932584269663,7.73235572098649
8939,FACILITEC CATERING NMK AVD 120 ,82,7.195121951219512,3.5096779965615856
8941,FACILITEC FARSTAD SHIPPING ,23,4.739130434782608,9.282876499418757
6592,FACILITEC RENH.KONGS. BRATTVÅG ,9,7.444444444444445,7.076071998504519
6594,FACILITEC RENHOLD HJØRUNGAVÅG ,2,1.0,1.050309841403214
6591,FACILITEC RENHOLD NMK ,18,1.8333333333333333,2.1534495978596015
6595,FACILITEC RENHOLD PIR ,13,4.538461538461538,6.623631770979511
6593,FACILITEC RENHOLD ULSTEINVIK ,8,2.5,1.8505153685301357
8265,FACILITEC ULSTEINVIK ,87,4.379310344827586,5.443785697160345
1377,FACTORY GRODÅS ,23,8.608695652173912,19.52816790279312
1372,FACTORY IKORNNES ,85,11.905882352941177,7.741190876654679
7935,FAGERLIA BARNEHAGE ,44,4.7272727272727275,21.95436026260792
8401,FAGERLIA VGS KANTINE ,73,10.89041095890411,12.611742817533147
1063,FELLESKJØPET NORDFJORDEID 4560 ,15,14.066666666666666,787.6073161627472
6762,FELLESKJØPET STRYN 4570 ,11,1.8181818181818181,50.01250312578145
6782,FELLESKJØPET VOLDA 7110 ,19,6.578947368421052,168.64543982730706
9317,FELLESKJØPET ÅLESUND 6110 ,17,2.0588235294117645,84.60236886632825
1173,FERGEKAIA FOSNAVÅG ,46,11.543478260869565,6.544972093274357
9295,FERGEKAIA PLUTO ,68,6.852941176470588,3.0114741689510676
9293,FERGEKAIA SKARBØVIK ,71,9.732394366197184,7.273403227475319
9061,FERGEKAIA SUNDE ,53,5.264150943396227,2.4292731066319413
8943,FISKERSTRAND VERFT KANTINE REN ,40,1.875,1.8631823004637333
8551,FISKETORGET AVD SENTRUM ,96,8.791666666666666,7.616151040908568
907,FISKÅ BRYGGE GJESTGIVERI ,49,6.857142857142857,9.754539780232541
1574,FJELLSTOVA ØRSKOG KH AS ,85,5.7176470588235295,6.772858397090179
9234,FJELLSTUA 418 AS ,59,13.254237288135593,14.688654066606471
2615,FJORD GUIDING AS ,8,5.5,9.579378211268832
3970,FJORD KOMMUNE RÅDH. VALLDAL ,4,2.0,20.63983488132095
1615,FJORDANE FOLKEHØGSKULE ,55,8.018181818181818,9.572044940425416
1631,FJORDLY UNGDOMSSENTER ,12,4.666666666666667,11.295150346519078
1041,FLAMMEN 6770 ,52,5.3076923076923075,13.07596424576559
1423,FLYING TIGER COPENH. MOA ,4,7.5,110.94674556213019
1421,FLYING TIGER COPENH. ÅLESUND ,2,3.5,56.08974358974359
4044,FOLE FESTLIG ,52,3.173076923076923,7.367015327410254
1834,FOLVEN CAMPING ,5,4.6,11.504026409243234
13076,FRAMOVER BIT FOR BIT ,1,5.0,21.82834191914782
7932,FREMMERHOLEN BARNEHAGE 2024 ,35,3.5714285714285716,11.354346443818693
7064,FRU INGA ,18,4.166666666666667,23.304808248037734
1842,FRU SVENDSEN KAFE ,23,14.0,57.967674920159446
3340,FRUENES ,10,3.8,13.686788647168996
8474,FUNKY FROZEN YOGURT AMFI MOA ,11,4.545454545454546,32.60727794443719
1821,FØNIKS KAFFIHUS ,55,5.709090909090909,14.608891138637448
1906,GEIRANGER CAMPING ,1,27.0,30.793795620437958
1926,GEIRANGER GRILL ,1,3.0,8.4530853761623
7364,GISKE BARNEHAGE ,42,5.595238095238095,23.440928859274635
7363,GISKE KOMMUNE KANTINA RÅDHUSET ,7,0.7142857142857143,2.999940001199976
7585,GISKE OMSORGSSENTER ,96,5.260416666666667,5.609397128655133
1925,GJERMUNDNES VIDAREGÅANDE SKULE ,39,3.8461538461538463,6.6770294163207975
6652,GLOBAL VEKST ,2,35.5,17750.0
7567,GODTESJUK ,1,0.0,
2060,GOKSØYR CAMPING ,5,32.2,24.637326314500832
2066,GRANDE CAMPING OPPSTRYN ,5,1.6,5.583472920156337
2051,GRANDE FJORDHOTELL OG HYTTER ,1,13.0,5.811146673342036
8437,GRIMMERGATA 5 AS KANTINE ,50,7.6,17.479710885581955
2217,GUDBRANDSJUVET CAFE ,16,8.375,5.790387955993052
7342,GUDBRANDSJUVET CAMPING ,1,4.0,21.51694459386767
8045,GYROSHOUSE ÅLESUND ,56,6.375,20.067205464575483
2361,HADDAL I.L. ,1,2.0,9.541984732824428
1134,HAKALLEGARDEN ,11,3.4545454545454546,4.3869472157893155
8350,HAPPY ELEFANT ,84,6.571428571428571,8.419260889558974
7807,HARAM OMSORGSSENTER 1 ETG 2024 ,45,3.8444444444444446,9.961994702291834
7810,HARAMSØY BARNEHAGE 2024 ,25,3.52,22.62501606890346
1062,HARBOUR GIFT SHOP EID ,1,4.0,11.061946902654867
9296,HARBOUR GIFTSHOP ÅLESUND ,8,1.75,8.715682002116663
2392,HAREID KOMMUNE FELLESKJØKKEN ,53,6.6415094339622645,6.4295114575903405
