,Kundenr,Alle kunder,Antall leveranser
597,7020,SPAR SØVIK REKVISITA ,7
598,6320,SPAR TRESFJORD ,153
599,7765,SPAR ULSTEINVIK ,302
600,4245,SPAR VALLDAL ,161
601,7450,SPAR VARTDAL ,241
602,5540,SPAR VOLDA ,214
603,4225,SPAR ÅSE ,264
604,8997,SPAREBANKEN MØRE KANTINE ,71
605,7627,SPERRE INDUSTRI  KANTINE ,63
606,8479,SPISESTUA KAFE OG RESTAURANT ,150
607,7910,SPJELKAVIK OMSORGSSENTER 2024 ,53
608,8967,SPJELKAVIK VEISERVICE ,83
609,8298,SPJELKAVIK VGS ELEVKANTINE ,41
610,8486,SPK HERD ,2
611,9159,SPORTSPARKEN VEGSUND ,83
612,5892,SSP AKSLA INT A331 AES ,85
613,5888,SSP O'LEARYS A327 AES ,129
614,5894,SSP POINT DOM A328 AES ,142
615,5895,SSP PROD.KJØKKEN Y018 AES ,115
616,5887,SSP UPPER CRUST A326 AES ,120
617,1689,ST1  VEGSUND 9377 ,86
618,1699,ST1 ULSTEINVIK 9109 ,97
619,1697,ST1 VESTNES 9289 ,95
620,1696,ST1 ØRSKOG 9415 ,88
621,1698,ST1 ØRSTA 9163 ,84
622,6433,STABBURET SVE KANTINE ST,43
623,13088,STAD HOTELL ,63
624,9190,STEINOVNEN BAR OG PIZZERIA ,2
625,7913,STETTE BARNEHAGE ,36
626,2826,STIFT JOST.BREEN NASJ.P.SENTER ,14
627,9232,STIFT.VITI AVD SUNNM.MUSEUM ,29
628,9050,STIFTINGA VITI AVD SM CAFÈ ,17
629,8409,STIFTINGA VITI KUNSTMUSEET ,9
630,5852,STOLT MAT ,5
631,6654,STORDAL AUTO ,21
632,6538,STORFJORD GASTROPUB ,66
633,6646,STORFJORD ISKREM ,8
634,500,STORFJORD KULTURHUS ,12
635,7937,STORHAUGEN BARNEHAGE ,43
636,6456,STRANDA BAKERI ,36
637,6599,STRANDA BOOKING ,22
638,6548,STRANDA OMSORGSS.AVD SOLBAKKEN ,49
639,6545,STRANDA OMSORGSSENTER ,52
640,314,STRANDA VIDAREGÅANDE SKULE ,34
641,6457,STRANDAFJELLET REST.DRIFT AS ,55
642,6764,STRYN BENSINSTASJON ESSO ,101
643,6645,STRYN HOTEL AS ,71
644,2161,STRYN KAFFEBAR OG VERTSHUS ,107
645,5264,"STRYN TORG,MATSTOVA ",51
646,2151,STRYN VERTSHUS AVD KIOSK ,7
647,13315,STRYN VGS KANTINE ,27
648,6773,STRYNEFJELLET SOMMERSKI ,5
649,6765,STRYNSVATN CAMPING ,11
650,8675,STUEN AS ,74
651,1843,STØDT ,25
652,7494,SUBSEA 7 VIGRA SPOOLBASE ,148
653,8825,SULATUNET ,95
654,8848,SULATUNET AVD.SLOGHAUGVEIEN ,12
655,9094,SUNDE BARNEHAGE ,43
656,9085,SUNDE FJORD HOTEL AS ,52
657,2684,SUNDE KIOSKEN ,27
658,1068,SUNDEHJØRNET ,1
659,6700,SUNNMØRE FOLKEHØGSKULE ,83
660,2565,SUNNMØRSBADET FOSNAVÅG ,45
661,6730,SUNNYLVEN OMSORGSENTER ,11
662,8378,SVERRE EIDSVIK ,2
663,4211,SYKK.KOMM. OPEN STORHALL ,2
664,6856,SYKKYLVEN BARNE & FAM.TENESTE ,6
665,6853,SYKKYLVEN BU OG AKTIVITETSS. ,95
666,6821,SYKKYLVEN KINO ,8
667,6080,SYKKYLVEN KYRKJELEGE FELLESRÅD ,2
668,6376,SYKKYLVEN UNGDOMSSKULE ,15
669,8185,SYKKYLVEN VGS ,28
670,6374,SYLTE HOTELL ,12
671,6872,SYLTEBØEN BARNEHAGE ,23
672,6878,SYLTEORMEN BAKERI ,36
673,7809,SØVIK BARNEHAGE 2024 ,35
674,9175,T&T SUSHI ,2
675,9288,T2 ,14
676,7012,TAFJORD BÅTHAVN OG BISTRO AS ,9
677,7017,TAFJORD CAMPING ,2
678,9249,TAI SHAN RESTAURANT ,10
679,9077,TAJMAHAL ,20
680,7048,TANDOORI MIX ,28
681,7808,TENNFJORD BARNEHAGE ,33
682,8958,TERMINALEN ,49
683,7053,THAI MIX ,40
684,8174,THAI THAI ÅLESUND ,40
685,9248,THE GREEDY BOX ,55
686,13313,THON HOTEL BARONEN ,47
687,13314,THON HOTEL MÅLØY 635102 ,37
688,1039,THONG THAI ,3
689,1824,TIK CAFE & RESTAURANT ,100
690,9090,"TINE SA, KANTINE ",30
691,8436,TINGSTAD AS KANTINE ,45
692,5065,TJUGEN CAMPING ,5
693,13330,TOMA KANT.1184701 POSTVEGEN 2 ,46
694,13333,"TOMA KANT.NØRESTRANDA,1188202 ",27
695,13312,"TOMA KANT.SOR.SK.B.GT,1116201 ",44
696,13332,"TOMA KANT.TORVMYRANE,1188201",37
697,13245,TOMMELITEN BARNEHAGE SA ,20
698,7088,TORGET MAT ,13
699,7070,TOTLANDS BOKHANDEL ,48
700,9131,TRANKOKERIET ANTIKK ,5
701,13095,TREDET ,69
702,5089,TROLLBU AABREKK GARD ,22
703,12233,TRSP.O BR. REMØ ,1
704,6536,TUSENFRYD BARNEHAGE ,2
705,9279,TYRHOLM OG FARSTAD ,94
706,6822,ULLAVIK BARNEHAGE ,19
707,13283,ULSHAV AVD. MJØL OG MEIR ,43
708,7312,ULSTEIN ARENA 252201 ,77
709,7327,ULSTEIN KOMM.RÅDHUSET 110100 ,6
710,7313,ULSTEIN KOMMUNE OMSORGSTENESTA ,52
711,7328,ULSTEIN KOMMUNE TEK.UTESEKSJ. ,6
712,7311,ULSTEIN SJUKEHEIM 304101 ,99
713,7276,ULSTEIN VIDAREGÅANDE SKULE ,67
714,9099,UNGDOM I OPPDRAG  ÅLESUND ,30
715,7272,UNGDOMSKLUBBEN BELL UK 250200 ,6
716,7384,VALAKER AVD. FOSNAVÅG ,51
717,7382,VALAKER AVD. MOA NORD ,46
718,7381,VALAKER AVD. MOA SYD ,75
719,7385,VALAKER AVD. RÅDHUSET ÅLESUND ,50
720,7387,VALAKER AVD. VESTNES ,52
721,13220,VALAKER AVD. ÅLESUND STORSENTE ,96
722,7383,VALAKER BLÅHUSET ULSTEINVIK ,54
723,7388,VALAKER HOVEDKONTOR/KONDITORI ,14
724,7380,VALLDAL BILSENTER ,49
725,7350,VALLDAL FJORD LODGE ,15
726,7355,VALLDAL SJUKEHEIM ,58
727,7933,VALLE BARNEHAGE 2024 ,16
728,7435,VANYLVEN OMSORGSENTER 50401 ,54
729,8478,VARD GROUP SKANSEKAIA 422571 ,89
730,7445,VARTDAL HELSETUN 31096 ,52
731,8133,VELLE BARNESKULE ,9
732,8127,VELLE BARNESKULE KAFFEKONTO ,2
733,7417,VERONA PIZZA ,52
734,9245,VEST RESTAURANT ,83
735,7515,VESTBORG VIDAREGÅANDE SKULE ,36
736,6715,VESTLANDSKE BURGERKOMPANI ,6
737,13023,VESTNES FJORDHOTEL ,44
738,13123,VESTNES SENTRALKJØKKEN ,99
739,7508,VESTVANG BOKHANDEL ,24
740,9314,VIDDALS GARTNERI ,1
741,9130,VIDESETER HOTELL ,15
742,7579,VIGRA BARNEHAGE ,14
743,7578,VIGRA SERVICENTER ,51
744,7645,VIK BILVERKSTED ,32
745,6859,VIKEDALEN BARNEHAGE ,43
746,8005,VINNI BAR OG RESTAURANT ,94
747,8517,VINTERHAGEN ,105
748,6714,VOLDA CAMPUS ARENA ,7
749,1640,VOLDA OMSORGSSENTER 410401 ,99
750,1838,VOLDA SJUKEHUS HF AVD 9033 ,91
751,7864,VOLDA TURISTHOTELL AS ,18
752,2212,VOLDA VIDAREGÅANDE SKULE/KANTI ,36
753,1641,VOLDABADET ,14
754,272,VOLSDALEN CAMPING ,11
755,8053,WELLE GRAVFERDSTJENESTER ,4
756,8017,WESTRES BAKERI RYSTELANDET ,34
757,8027,WESTRES KOND. AVD SUNN OG GOD ,81
758,8026,WESTRES KOND. AVD VOLDA ,61
759,8028,WESTRES KOND. AVD ØRSTA AMFI ,65
760,8633,WOK & GRILL ,13
761,8343,XL DINER ,103
762,8515,XL FOOD COMPANY ,72
763,8025,YONG HONG RESTAURANT ,1
764,5086,YRI OUTDOOR ,3
765,7938,YSTENESET BOLIGER ,15
766,376,YUSUF ,19
767,13329,YX KNUTEPUNKTET ,27
768,3297,YX LARSNES ,9
769,8555,ZUUMA ,85
770,10097,ØDEGAARD ENGROS SPISEROM ,35
771,7941,ØHD,29
772,6024,ØRSKOG BILSENTER ,4
773,6027,ØRSKOG KINO ,1
774,7909,ØRSKOG SJUKEHEIM 2024 ,53
775,7912,ØRSKOG SKULE SFO 2024 ,20
776,8054,ØRSTA CAMPING AS ,74
777,8172,ØRSTA KULTURHUS OG  KINO ,4
778,8137,ØRSTA RÅDHUS KANTINE ,3
779,8183,ØRSTA VGS REST.&MATFAG ,36
780,8130,ØRSTAHEIMEN  FELLESKJ 31266 ,100
781,9204,AAFK FORTUNA ,1
782,1976,ÅHJEMSBUA ,7
783,7319,ÅLESUND ASIA SHOP ,2
784,9125,ÅLESUND BEH.SENTER AVD 6711 ,52
785,8285,ÅLESUND FENGSEL 3390KARSANDN ,48
786,8348,ÅLESUND FOLKEHØGSKOLE ,65
787,8280,ÅLESUND FOTBALL AS ,1
788,1982,ÅLESUND GOLFKLUBB ,20
789,7901,ÅLESUND KOMMUNE KONSERNINNKJØP ,1
790,7586,ÅLESUND PADEL ,9
791,8258,AALESUND PROTECTIVE WEAR AS ,16
792,8963,ÅLESUND SJUKEHUS HF AVD 9034 ,100
793,9179,ÅLESUND STORSENTER ,10
794,9231,ÅLESUND SUSHI ,2
795,13202,ÅLESUND VGS VOLSDALSBERGA ,35
796,8989,AARFLOT HAVNEVIK AS ,46
797,7928,ÅRØYHAUGEN BARNEHAGE 2024 ,43
798,7919,ÅSE HELSEHUS 2024 ,52
