,Kundenr,Alle kunder,Antall leveranser
149,8562,"ELEKTROIMPORTØREN NORGE AS,ÅLE ",22
150,7931,ELLINGSØY BARNEHAGE 2024 ,41
151,333,ELMIR PIZZERIA ,20
152,1146,ELVEBAKKEN CAMPING ,7
153,1964,EMOBILITY AS ,1
154,7583,EPIC DIGERNES ,45
155,1043,ERLING BJØRLO ,1
156,9018,EUROSPAR BLINDHEIM ,303
157,6360,EUROSPAR HAREID ,301
158,9200,EUROSPAR LARSGÅRDEN ,303
159,8900,EUROSPAR MOA ,348
160,7740,EUROSPAR SYKKYLVEN ,299
161,7390,EUROSPAR VALDERØY ,255
162,4110,EUROSPAR ØRSTA ,302
163,9037,EUROSPAR ÅLESUND STORSENTER ,257
164,8473,EVERGREENS ,61
165,9327,EXPRESS PIZZARIA OG GRILL ,4
166,9310,FABRIKKEN KULTURSCENE ,35
167,8260,FACILITEC BRATTVÅG ,89
168,8939,FACILITEC CATERING NMK AVD 120 ,82
169,8941,FACILITEC FARSTAD SHIPPING ,23
170,6592,FACILITEC RENH.KONGS. BRATTVÅG ,9
171,6594,FACILITEC RENHOLD HJØRUNGAVÅG ,2
172,6591,FACILITEC RENHOLD NMK ,18
173,6595,FACILITEC RENHOLD PIR ,13
174,6593,FACILITEC RENHOLD ULSTEINVIK ,8
175,8265,FACILITEC ULSTEINVIK ,87
176,1377,FACTORY GRODÅS ,23
177,1372,FACTORY IKORNNES ,85
178,7935,FAGERLIA BARNEHAGE ,44
179,8401,FAGERLIA VGS KANTINE ,73
180,1063,FELLESKJØPET NORDFJORDEID 4560 ,15
181,6762,FELLESKJØPET STRYN 4570 ,11
182,6782,FELLESKJØPET VOLDA 7110 ,19
183,9317,FELLESKJØPET ÅLESUND 6110 ,17
184,1173,FERGEKAIA FOSNAVÅG ,46
185,9295,FERGEKAIA PLUTO ,68
186,9293,FERGEKAIA SKARBØVIK ,71
187,9061,FERGEKAIA SUNDE ,53
188,8943,FISKERSTRAND VERFT KANTINE REN ,40
189,8551,FISKETORGET AVD SENTRUM ,96
190,907,FISKÅ BRYGGE GJESTGIVERI ,49
191,1574,FJELLSTOVA ØRSKOG KH AS ,85
192,9234,FJELLSTUA 418 AS ,59
193,2615,FJORD GUIDING AS ,8
194,3970,FJORD KOMMUNE RÅDH. VALLDAL ,4
195,1615,FJORDANE FOLKEHØGSKULE ,55
196,1631,FJORDLY UNGDOMSSENTER ,12
197,1041,FLAMMEN 6770 ,52
198,1423,FLYING TIGER COPENH. MOA ,4
199,1421,FLYING TIGER COPENH. ÅLESUND ,2
200,4044,FOLE FESTLIG ,52
201,1834,FOLVEN CAMPING ,5
202,13076,FRAMOVER BIT FOR BIT ,1
203,7932,FREMMERHOLEN BARNEHAGE 2024 ,35
204,7064,FRU INGA ,18
205,1842,FRU SVENDSEN KAFE ,23
206,3340,FRUENES ,10
207,8474,FUNKY FROZEN YOGURT AMFI MOA ,11
208,1821,FØNIKS KAFFIHUS ,55
209,1906,GEIRANGER CAMPING ,1
210,1926,GEIRANGER GRILL ,1
211,7364,GISKE BARNEHAGE ,42
212,7363,GISKE KOMMUNE KANTINA RÅDHUSET ,7
213,7585,GISKE OMSORGSSENTER ,96
214,1925,GJERMUNDNES VIDAREGÅANDE SKULE ,39
215,6652,GLOBAL VEKST ,2
216,7567,GODTESJUK ,1
217,2060,GOKSØYR CAMPING ,5
218,2066,GRANDE CAMPING OPPSTRYN ,5
219,2051,GRANDE FJORDHOTELL OG HYTTER ,1
220,8437,GRIMMERGATA 5 AS KANTINE ,50
221,2217,GUDBRANDSJUVET CAFE ,16
222,7342,GUDBRANDSJUVET CAMPING ,1
223,8045,GYROSHOUSE ÅLESUND ,56
224,2361,HADDAL I.L. ,1
225,1134,HAKALLEGARDEN ,11
226,8350,HAPPY ELEFANT ,84
227,7807,HARAM OMSORGSSENTER 1 ETG 2024 ,45
228,7810,HARAMSØY BARNEHAGE 2024 ,25
229,1062,HARBOUR GIFT SHOP EID ,1
230,9296,HARBOUR GIFTSHOP ÅLESUND ,8
231,2392,HAREID KOMMUNE FELLESKJØKKEN ,53
232,2388,HAREID PIZZA OG PUB ,48
233,7917,HARØY NYE BARNEHAGE 2024 ,37
234,7322,HASUNDGOT IL ,5
235,7934,HATLAHAUGEN DAGSENTER 2024 ,44
236,7920,HATLANE OMSORSSENTER 20204 ,50
237,11074,HATLØY CATERING ,74
238,11083,HATLØY CATERING AS ,2
239,11085,HATLØY CATERING AS AVD. EXPO ,47
240,1159,HAVFRUEN MÅLØY ,101
241,1188,HAVILA CAPELLA ,29
242,1190,HAVILA CASTOR ,31
243,7615,HAVILA HOTELL IVAR AASEN ,97
244,1178,HAVILA HOTELS KANTINE ,9
245,1184,HAVILA POLARIS ,22
246,1183,HAVILA POLLUX ,29
247,1172,HAVILA SERVICE KANTINE ,34
248,1171,HAVILA SERVICE RESEPSJON ,36
249,2617,HELLESYLT BOUTIQUE OG BAR ,8
250,3339,HELSEHUSET STELLA MARIS ,52
251,9276,HEMIT ÅLESUND ,7
252,2547,HERØY OMSORGSSENTER 324000 ,58
253,2567,HERØY VGS KANTINE ,35
254,2571,HERØY VGS UNDERVISNINGSKJØKKEN ,22
255,11040,HESSACUP ,2
256,1835,HF NORDFJORD SJUKEHUS ,101
257,12006,HIG INTERNKJØP SL EGEN FAKTURA ,1
258,2497,HJELLE HOTEL AS ,35
259,2599,HJØRUNDFJORD CAMPING ,11
260,2620,HJØRUNDFJORDHEIMEN ,52
261,7634,HOFSETH KANTINE SYVDE ,46
262,9246,HOFSETH PROCESSING ,47
263,8066,HOFSETH AALESUND ,51
264,1850,HOGATUNET BU OG BEHANDLINGSS. ,31
265,9302,HOLE KJØTT AS ,95
266,6712,HOLMEN MAT OG DRIKKE ,77
267,1179,HORISONT RESTAURANT AS ,28
268,6786,HORNDØLA CAMPING ,8
269,2618,HORNINDAL SKISENTER ,9
270,8570,HOTEL 1904 AS ,98
271,8408,HOTEL BROSUNDET BRYGGEN ,102
272,1910,HOTEL GEIRANGER ,5
273,8559,HOTEL NOREG ,85
